,LessEq_2bp,3bp_4bp,5bp_6bp,7bp_8bp,9bp_11bp,12bp_14bp,More_15bp,Insertion,MaxClass
ENSMUSG00000033788_gR434r,0.08,0.06,0.04,0.2,0.16,0.16,0.06,0.24,Insertion
ENSMUSG00000033788_gR113f,0.08666666666666667,0.04666666666666667,0.20666666666666667,0.12000000000000001,0.2733333333333333,0.06,0.15333333333333332,0.05333333333333334,9bp_11bp
ENSMUSG00000033788_gR70f,0.12733333333333335,0.08666666666666667,0.14400000000000002,0.048,0.2886666666666667,0.05466666666666666,0.10866666666666665,0.142,9bp_11bp
ENSMUSG00000023020_gR346r,0.1469230769230769,0.32692307692307687,0.04692307692307692,0.1423076923076923,0.12846153846153846,0.06230769230769231,0.07538461538461541,0.07076923076923076,3bp_4bp
ENSMUSG00000023020_gR376r,0.1588888888888889,0.10222222222222223,0.07111111111111111,0.05888888888888889,0.41666666666666663,0.0677777777777778,0.09333333333333341,0.03111111111111111,9bp_11bp
ENSMUSG00000023020_gR434r,0.15142857142857144,0.21000000000000002,0.0785714285714286,0.12142857142857146,0.14285714285714285,0.03857142857142857,0.1028571428571429,0.15428571428571428,3bp_4bp
ENSMUSG00000021177_gR34f,0.19666666666666668,0.06333333333333334,0.32999999999999996,0.043333333333333335,0.18666666666666665,0.043333333333333335,0.09666666666666662,0.04,5bp_6bp
ENSMUSG00000021177_gR124r,0.13999999999999999,0.04,0.1,0.16,0.06,0.18,0.28,0.04,More_15bp
ENSMUSG00000021177_gR208f,0.29555555555555557,0.08000000000000002,0.1622222222222222,0.04444444444444445,0.06888888888888889,0.05777777777777778,0.09555555555555557,0.1955555555555556,LessEq_2bp
ENSMUSG00000021645_gR59f,0.09761904761904762,0.06428571428571428,0.18047619047619048,0.15619047619047616,0.03333333333333333,0.12523809523809526,0.18238095238095223,0.16047619047619047,More_15bp
ENSMUSG00000021645_gR318f,0.16149253731343283,0.22507462686567165,0.11194029850746268,0.0408955223880597,0.28447761194029847,0.06597014925373133,0.050149253731343255,0.06,9bp_11bp
ENSMUSG00000021645_gR395f,0.14864864864864866,0.11837837837837839,0.051891891891891896,0.08486486486486487,0.0762162162162162,0.0772972972972973,0.19135135135135126,0.25135135135135134,Insertion
ENSMUSG00000031865_gR354f,0.20545454545454545,0.12363636363636363,0.03090909090909091,0.03909090909090909,0.2681818181818182,0.06454545454545454,0.12727272727272734,0.1409090909090909,9bp_11bp
ENSMUSG00000031865_gR271r,0.112,0.4346666666666667,0.052,0.023999999999999997,0.11200000000000002,0.136,0.0826666666666667,0.04666666666666666,3bp_4bp
ENSMUSG00000031865_gR106f,0.17333333333333334,0.060000000000000005,0.2653333333333333,0.058666666666666666,0.23866666666666667,0.019999999999999997,0.12666666666666673,0.05733333333333333,5bp_6bp
ENSMUSG00000029328_gR364f,0.14610169491525424,0.1725423728813559,0.10949152542372884,0.07084745762711865,0.14474576271186437,0.04101694915254239,0.11491525423728814,0.20033898305084746,Insertion
ENSMUSG00000029328_gR125r,0.09799999999999999,0.14733333333333334,0.2526666666666667,0.068,0.15000000000000005,0.05333333333333333,0.17533333333333337,0.05533333333333334,5bp_6bp
ENSMUSG00000029328_gR51f,0.21142857142857144,0.16857142857142857,0.10285714285714287,0.08857142857142856,0.08857142857142859,0.14000000000000004,0.13142857142857148,0.06857142857142856,LessEq_2bp
ENSMUSG00000021182_gR380r,0.11294117647058824,0.3,0.17411764705882354,0.11333333333333331,0.0768627450980392,0.05803921568627451,0.06862745098039214,0.09607843137254903,3bp_4bp
ENSMUSG00000021182_gR283f,0.26,0.02,0.12000000000000001,0.12000000000000001,0.18,0.06,0.12000000000000001,0.12000000000000001,LessEq_2bp
ENSMUSG00000021182_gR247r,0.23875,0.37625,0.03375,0.009999999999999998,0.07625000000000001,0.10500000000000001,0.06750000000000002,0.0925,3bp_4bp
ENSMUSG00000001552_gR319r,0.06333333333333334,0.03333333333333333,0.18333333333333332,0.04,0.42333333333333334,0.12,0.05,0.08666666666666667,9bp_11bp
